video_id,limb_explosiveness,max_opening_angle,inversion_ratio,beat_hit_rate,beat_avg_error_sec,beat_variance,peak_trough_control_ratio,kinetic_energy_cv,cog_total_distance,convex_hull_coverage,Score_CleanExecution,Score_HighDifficulty,Score_BeatPrecision,Score_MusicSync,Score_RhythmRichness,Score_BodyControl,Score_StageSpace,total_score
40,88.41,107.88,0.0,0.958,0.055,0.00173,485.19,2.73,12174.46,0.1406,8.2,7.9,8.6,8.8,8.3,8.3,7.9,82.45
41,49.69,57.58,0.0,0.947,0.046,0.0011,258.88,2.26,9712.54,0.0304,8.2,7.9,7.0,6.8,7.0,8.3,7.5,76.19
42,46.94,80.98,0.0,1.0,0.041,0.00101,419.87,3.29,9229.74,0.0624,7.2,7.0,7.0,7.1,6.8,7.5,7.5,71.38
43,45.86,64.32,0.0,0.89,0.054,0.00144,501.1,1.64,8559.69,0.0249,8.1,7.4,7.9,7.5,8.0,8.0,7.5,77.68
44,83.01,99.58,0.0008,0.892,0.065,0.00144,216.8,2.91,11783.97,0.0804,8.6,7.9,8.2,8.3,8.3,8.7,7.8,82.56
45,59.97,59.35,0.0,0.945,0.05,0.00118,1699.89,1.77,9150.09,0.0328,5.9,6.5,6.0,5.9,5.8,6.3,6.0,60.82
46,83.28,80.88,0.0,1.0,0.051,0.00105,228.17,2.23,12246.86,0.1168,7.8,7.5,7.5,7.6,7.5,7.4,7.5,75.65
47,76.91,77.47,0.0,1.0,0.037,0.00105,1326.96,2.15,9027.16,0.0725,7.3,7.4,7.7,7.6,7.5,8.0,7.5,75.25
48,61.23,77.64,0.0,1.0,0.051,0.00145,777.19,1.86,10636.99,0.0464,7.6,7.5,7.7,7.3,7.3,8.0,7.5,75.51
49,71.21,59.73,0.0,1.0,0.038,0.00066,6953.41,29.66,12983.14,0.2693,8.0,7.5,7.8,7.5,7.4,8.0,7.3,76.63
50,58.92,74.83,0.0,0.973,0.07,0.00178,364.97,2.29,8989.86,0.026,8.0,7.6,7.9,8.0,7.7,8.0,7.9,78.56
51,50.57,62.88,0.0,0.985,0.071,0.00151,622.07,2.35,7739.2,0.0511,7.8,7.6,7.9,8.3,8.4,7.8,7.5,78.68
52,62.82,75.03,0.0,0.971,0.073,0.00138,671.54,3.23,9436.97,0.0626,8.0,7.5,8.1,8.0,8.5,7.8,7.5,78.89
53,54.91,68.24,0.0,0.986,0.063,0.00164,359.76,2.0,9232.68,0.0664,7.3,7.2,6.9,6.8,6.9,7.2,7.4,71.24
54,61.92,79.33,0.0,0.987,0.073,0.00211,225.7,1.49,9341.92,0.0322,7.2,7.3,6.8,6.8,6.7,7.2,7.4,70.88
55,53.41,67.28,0.0,0.973,0.072,0.00189,2431.08,1.55,10881.92,0.0695,8.9,7.3,8.6,8.4,8.4,8.5,8.0,82.63
56,48.59,56.5,0.0,0.976,0.045,0.00105,623.68,1.54,8223.26,0.0061,5.8,5.8,6.0,6.0,5.9,6.0,6.0,59.02
57,40.37,62.55,0.0,0.931,0.053,0.00139,487.16,1.69,7034.19,0.011,5.9,5.9,6.0,6.0,5.9,6.0,6.0,59.45
