Limb Explosiveness,Max Opening Angle,Handstand Floor Ratio,Beat Hit Rate,Beat Avg Error (s),Beat Variance,Peak-Trough Control,Kinetic Energy CV,CoG Total Distance,Convex Hull Coverage
-0.3524493448925056,0.5653457431380436,0.0,-0.10041238544190904,0.028315141690768805,-0.07997713152178856,-1.2120243700928004,-0.02861476094077027,-0.2044499537537372,1.2068499975086855
0.5399576632915212,0.6977393457423492,0.0,0.004952341598197411,0.20461783780267065,0.04854112300108788,0.5124495349811453,0.2208400095465623,0.6846353271809478,0.5228623548316914
-0.5794794811408243,-0.627867038916912,0.0,-0.07865413656445022,-0.1713682313773724,-0.07895054031252818,-0.23256667714737522,-0.08524712332775011,-0.8442402757218571,-1.7128669449729554
0.5442195152262396,0.6289647505413617,0.0,-0.03302227365837716,0.04981639785207867,0.05999650497237175,-0.9528388223916205,-0.07991458350379374,-0.34270392872064337,0.31423714916471956
-0.530049749287965,-0.685208197474854,0.0,-0.006493943163916882,-0.1285663090132511,0.05932626414216472,0.35485255561642254,-0.06557659447674036,-0.7973236961570379,-1.657213396357785
0.055841819901078484,-0.8058615420602531,0.0,-0.050929466129201004,-0.12373938643052865,-0.09474868642858003,-1.0448296865664508,-0.28175965043674805,0.8406257412019423,0.1849999699111773
0.17115641907063986,-0.5254743900154268,0.0,-0.024418893656438942,0.05545913434137542,-0.040476802185470166,-1.0591481418157538,0.10101169544590727,-0.624013890131652,0.46375129071865884
0.1401359999011219,-0.7359918015314955,0.0,-0.046116229991665064,-0.2370972035085841,-0.08373406980720113,0.4557967126987706,0.17797769188841508,-0.06231829800842059,-1.0508198370656718
0.5504996621267474,0.6937898836171983,0.0,0.08954958782646164,0.10134540850283186,-0.029258301685538668,-1.1965840757441955,0.05530629425438163,1.0692187967065157,1.2787459705130428
-0.10559075922499139,-0.07142847542105062,0.0,0.05729154372227302,-0.17744822115242698,-0.06476138732054484,-0.7990377033689867,-0.05064603769214762,-0.4568369676856856,-0.8962084252830592
0.5032096928967628,0.7652494772664784,0.0,0.06980195580352064,0.055157924198381225,-0.02004222246442061,0.5245541479325009,0.008556560400016594,1.0872029656071953,1.5620505754932463
0.13655927942051702,-0.5309152677836197,0.0,-0.017670044130086965,0.1527939736746353,-0.09530371217081618,-0.9362813333573161,0.05069021942683809,-0.39934679860655764,0.22537439393138892
0.12104843933134991,0.3655594781028134,0.0,-0.08822367337704126,0.025645279645250076,-0.09324409060191372,-0.8871375212520999,0.08693252571290608,-0.1560797123308651,-0.5009270205771815
-0.4390529013276554,-0.5099374136060195,0.0,0.01187868732139867,0.11865053810151699,-0.048079671961221836,0.3887441571658034,0.04353671825812888,-0.6117460655950063,-1.6544054211246297
0.4659201711506018,-0.2304516148483983,0.0,-0.006317588487489756,-0.22440586871497883,-0.10962301664588803,0.3409909589419884,-0.2074604266752146,0.4595241302326408,-1.7349419803653001
0.5118413446198727,0.6481600757489128,0.0,-0.09108037837649804,-0.10185020431862189,-0.030730008231221517,-1.0992060794259575,0.10261122441488749,1.0095028016599166,1.3027171028295192
-0.3384578915028144,-0.4697507700012466,0.0,-0.03313591199329996,0.12382030570034394,0.050445995985808297,-0.8211736550634013,-0.07072861505802419,-0.5363733950579058,-1.1982991624825585
0.21968858612032688,-0.5486814494911791,0.0,-0.050729015316755846,0.013078533174650304,0.06759196564424358,-0.3052235980598758,0.1287270510762189,-0.5862206238747188,-0.5889144710230423
0.17530160181309346,-0.7347233037837668,0.0,-0.01912368247060256,-0.19896190374301248,0.06529830469736025,-0.8334364441191632,-0.3049127415973885,0.43172031297326807,-1.203981397649378
0.5566113961844993,0.714116693867402,0.0,0.07514567177212675,0.19427049534653087,0.009094697548596577,0.5110289762498863,0.12875116937225278,1.0982653782673644,1.4121378217920832
0.07661337644964275,0.43972883335385304,0.0,0.07761844775262508,-0.19381079648430907,-0.03979602633176066,-0.24735492303097323,0.17525524003349738,0.22739991014081468,0.2880896866614515
0.27904417188918645,-0.7361044601650144,0.0,-0.026311586030911743,0.02730784592109063,0.05057156778045275,-0.8408016007450628,-0.328244492716201,0.9716557714330756,-1.3904323280954531
-0.28048629343180664,0.6508242892188162,0.0,-0.06995006903986842,-0.07947644981266672,0.022463046697361683,0.5828110175420571,0.10461279881551813,-0.11435275433866855,1.5088826580206083
0.5658465596910912,0.7181211088736982,0.0,-0.012937978121283783,-0.11030207822373687,-0.03711959013729632,0.05937787412680892,0.21832560783024274,0.7971444943339133,1.4874645825630946
0.5528354255266018,0.7209670908456056,0.0,-0.05247216377358553,0.19988631916067104,0.06189889294490159,0.4310141795859725,0.2590641394309528,0.5161608767586633,0.35454822723481016
-0.09741600703112978,-0.49572095701282576,0.0,0.04023188522160309,-0.11119863741694344,-0.014094244563390916,-0.796321083689992,-0.07180990496863049,-0.4612671483808485,-1.1656041211239985
0.564611121475714,0.6142421760889138,0.0,-0.06333565341349996,0.03900989105859487,0.05446442123527207,-0.1387806769289948,0.13006871398854586,-0.29364722835553686,0.8878060261566507
0.4678098032243832,0.48478371692140115,0.0,0.08951317479949751,0.11785001696796057,-0.01923187210141858,0.49607648426754997,-0.1558963224763088,0.9938324244434832,1.5401777853203436
-0.14539722451532397,0.5838658030148919,0.0,-0.0609923422711401,-0.1795627850825686,-0.06424933564275473,0.5105806200076273,0.15021347125390444,-0.7660269469974613,1.3839443559003335
0.47874980853086396,0.6801435818607536,0.0,-0.0831813049729298,-0.09751671656151054,-0.08842175012637224,-1.0606056072057988,-0.16247276403730654,0.9544740107545342,0.23381864997099333
0.318918061617376,0.3793367699664623,0.0,0.0665639388189635,0.11502142709869137,0.007491109818834503,0.5476598340804009,0.12192547983361374,0.9592760117325602,1.5594019675188946
0.13021426149301382,-0.6532628619675396,0.0,0.04748811562508641,0.19780772881301426,0.017949761088201517,0.5382297032927292,0.18920060209483852,0.5318029734599562,1.4882458848852491
0.15199922361974752,-0.8181517732975829,0.0,0.06805068988954623,0.05752539047534072,-0.017818148638428566,0.519763564117173,0.1102415185520419,-0.2523978239872692,0.4855509098121217
-0.5364994533953222,-0.5070701623105558,0.0,0.04220855447311732,0.13699421800443137,-0.09928398914458789,-1.0839685689937268,-0.0006907136905598965,-0.34621781988440786,0.49351283516257904
-0.14663365691474414,0.6325690343751076,0.0,0.06487924327960631,0.11325965581062705,-0.024146323726218742,0.49803516644500184,0.1053433309297899,0.3072127427611691,1.276954309383335
0.49904715433905095,0.7068304330573972,0.0,0.029731548741294838,0.18409486767771324,-0.015276651964291676,0.5384951080245681,0.21396170358765282,1.1355510399324438,1.432599599620217
0.2982588206346538,0.7626323434757322,0.0,0.012899516877562776,0.20247385949126087,0.052535398390092476,0.44593098890111577,0.18796384841866315,0.612367098760471,1.5462177311256065
-0.0975970494883556,0.6369476280951734,0.0,0.09340723919426104,0.030675862633827544,0.009298353382162394,0.5239536465582333,0.059395150411569925,-0.33688815681514417,1.5127241230228086
-0.44081910342161157,0.6559621442997259,0.0,0.0991745403876927,0.16538948720870741,-0.003593948204514412,0.4685571656682424,-0.06240078340819849,-0.7765436563498005,0.5299761131390079
0.5469069104967638,0.6920589266365695,0.0,0.029926229559870256,0.03136452833076728,-0.043627069532230466,0.5293647298783066,0.23793728214950588,1.1444434831452204,1.443221752203262
-0.36358783508146114,-0.6684412602378011,0.0,0.002579631994054213,-0.033105086339302,-0.03173316129031836,0.4645451650578823,0.12510292363005143,-0.1849314140140197,-1.532890504338666
-0.49167640612609304,0.47922993365358907,0.0,-0.05744540795297784,-0.06973114356983276,-0.009711494829609174,0.4953571620828851,0.13458305068658252,-0.6269892178428432,0.5869379363802051
-0.4928483312632063,-0.5473788690551011,0.0,0.012801219076461562,-0.09413684328109997,0.06632011521648248,0.37742145104782127,-0.2529849536425897,-0.5319837624267839,-1.6334965978449116
0.5166691362711168,0.7140724594830755,0.0,0.06716284165371067,0.1856833335070214,0.023235265627066078,0.5330057652928526,0.19849734342788167,0.9039096862932069,1.4255595276208863
-0.06712720321452474,-0.675132748168794,0.0,-0.04365285496307658,-0.12356933476234677,-0.09467520356389467,-0.8106736924123962,-0.11394487186872782,-0.47002808758813264,-1.4100187982294266
0.47709947801304026,0.5660882225079291,0.0,-0.07887004613991122,-0.20314804263464473,-0.016912326106988645,0.49367136849409937,0.1327819529330624,1.0618991765975163,1.4833625593893258
0.5279977582659224,0.42773807113968043,0.0,-0.07646981094949853,-0.04070152133163467,-0.04265014330910988,-0.7986363615621199,0.112251351281312,-0.6152373322146678,1.1667992805030336
0.06623279458799394,0.3355711412450586,0.0,-0.0654661240198025,-0.15582409243292925,0.05810140201430742,0.1334502776777215,-0.061965702950569246,-0.11456195149756239,0.35580556200190105
0.4737948619099665,-0.8094573934336947,0.0,-0.04062557334394043,-0.08330364129466145,-0.038973122574501584,-1.1191388669469853,0.06668561878060178,0.9763407766751764,1.258675737771472
-0.11192903548797808,0.31205678860072145,0.0,0.04020009214472066,0.15737529670170963,-0.029916280481289685,0.3800947014789184,0.10583943855593839,-0.6261843773655579,-1.6479111959709984
-0.42537767665338266,-0.728568636904618,0.0,-0.012922153873989262,0.1534266351644791,0.09336157676619494,0.4235003165325259,0.14857996740325685,-0.7851693349809034,0.5170096148966717
0.240366390919441,0.33892943354483185,0.0,0.010497133652295872,0.19019343734345104,-0.025600722255258723,0.3494139737773386,0.13330533077578824,-0.37662123353430293,0.6096933353705647
-0.38514927223836537,-0.4695569185632204,0.0,-0.03217840878386184,0.1466966530235543,0.012789767000213455,0.4846660274227315,0.04231535358000155,-0.5661619685254399,0.7165293756029857
0.10555901227593185,0.3834946726303457,0.0,-0.0436667156010999,0.16867735218451174,0.0455890665856146,0.39774348414186556,-0.3288119416173074,-0.46026907146363494,-1.5876353222436446
-0.33840304898992546,-0.48920007205327404,0.0,0.022073141171105815,0.19795875085524725,0.007944226918789273,-0.9938942988585604,-0.1703170238746183,0.27895645511348754,1.2337584266099677
-0.44642829472843454,-0.6858569725064656,0.0,-0.026984833076537332,-0.0213191613471923,-0.07578472837148653,0.12105222448995744,-0.32156070222131944,-0.7613882424924895,-1.6667432383319838
-0.5746349100076437,-0.7025387337383686,0.0,-0.022515571745584828,-0.20251519385164857,-0.027429743938900936,0.3602167771655553,-0.21207748940159718,-0.827584950771432,-1.6968918545236948
-0.4901734684543893,-0.8395878801556245,0.0,0.016721307697307508,0.09416536212589649,-0.02924998000943166,0.24147220691971794,-0.27846376756037433,0.4687877809927715,1.347515797625969
-0.6165867601238741,-0.6629249331612062,0.0,-0.0022745670804331375,0.10333324930996307,-0.005642206800042265,0.4356040835123595,0.14773389880330504,-0.893163721097504,-1.6100016874099157
0.5692253094803169,0.5964150498055274,0.0,0.06438224261541267,0.1221323383577981,0.013437065666070093,0.5147764709408682,0.24655531579238094,1.1431583082673968,1.4640613933865132
0.18816833644388858,-0.46399611436465926,0.0,0.012093248739697166,0.06659126693751544,0.08343413135814448,0.44188042082238693,-0.32124567029361134,-0.47826587775406537,-1.6426958183587523
-0.6180298328994097,0.38236328295746874,0.0,-0.029371912495397404,0.146806235846426,0.07018168756967003,0.13932085170643968,-0.03332939349801611,-0.6018175570770031,-1.6866638568432055
-0.0621222674570059,-0.6876563469792583,0.0,0.051171424118970535,0.15425639517155293,0.0590584469940019,-0.7621128194025061,-0.12923581246733953,-0.44589455735199224,-0.267911885532874
0.47487591727026546,-0.8133447444262537,0.0,0.038205349392062035,0.1827912479219413,0.06206816974469374,0.4151514347400577,-0.16392557692735066,0.84037514675892,-0.39265370757399126
0.20100479746907682,-0.7545899215301022,0.0,-0.02936358041591046,0.056998424059399005,-0.017112479666976647,0.3431975227207144,0.035019195780209234,-0.2763567980192028,1.2093800883738883
-0.5208760743109144,-0.7636516704549525,0.0,0.010188308531655019,-0.05422394723882253,-0.043900045589517184,0.4763725075706335,0.10464039906210854,-0.7047917953030632,0.44874979699858863
0.5244135865078499,-0.7167403810618187,0.0,0.05024845377107785,0.030512526633892895,0.08000283532365854,0.17070105151798703,-0.25751721687704265,0.9149411216359735,-0.010544336908794048
-0.6951689483041289,-0.6661134050387856,0.0,-0.010119522458286526,0.007210382098021044,0.001985078956337878,0.09089452706576104,0.15653027295793914,-0.9351177987378193,-1.6071637390124782
-0.14263068838853352,-0.8056568386030167,0.0,0.004561089799040449,-0.10826140560980467,-0.03357081524980434,-1.1438518713960588,0.031835761801897344,0.3990563357367656,1.2382145960556241
0.5721178844517617,0.7170036835906917,0.0,0.05666094818533023,0.16408526496504808,-0.03319596951546302,-1.1655877006083886,0.044864583851891626,1.0871822674221316,1.2673562187582879
-0.47843276857687084,-0.6936195948733478,0.0,0.015558274851338358,-0.023134696304327816,-0.047217901941563306,0.41095228513835097,0.14682417436756282,-0.8142971797329502,-1.6127792290490226
-0.578066594783713,-0.5197059780933011,0.0,0.0093254840822381,0.02799530445440046,0.03562555377128943,0.3606437957625975,-0.0806498223047987,-0.8440769842364805,-1.5983853938702124
-0.28779655274623883,0.5398566651324205,0.0,0.006690076460040346,0.03162380904341636,-0.023696068188770625,0.4104638755944173,-0.2357252006909448,-0.9340385732879524,-1.7725979351457783
-0.6475257284970385,0.578222650429871,0.0,-0.02488758301435843,-0.18158485569269073,-0.012972899632061385,0.39112272722829194,0.1461935534686621,-0.5940682871279025,-1.6748351591222312
0.026441055331677524,0.370370227061951,0.0,-0.033835902804381666,-0.11586892074070335,0.03679855025604465,-0.8872769893320732,0.12583237066410285,-0.240071014588415,-1.230358200120588
